creek,location,biorep,monthyear,sample,qubit
Portage,up,1,821,Portage.up.1.821,7.65
Portage,up,2,821,Portage.up.2.821,5.9
Portage,up,3,821,Portage.up.3.821,5.28
Barnes,down,1,821,Barnes.down.1.821,0.986
Barnes,down,2,821,Barnes.down.2.821,3.4
Barnes,down,3,821,Barnes.down.3.821,1.92
Barnes,up,1,821,Barnes.up.1.821,0.378
Barnes,up,2,821,Barnes.up.2.821,3.23
Barnes,up,3,821,Barnes.up.3.821,3.07
Chuckanut,down,1,821,Chuckanut.down.1.821,0.859
Chuckanut,down,2,821,Chuckanut.down.2.821,0.773
Chuckanut,down,3,821,Chuckanut.down.3.821,0.053
Chuckanut,up,1,821,Chuckanut.up.1.821,4.42
Chuckanut,up,2,821,Chuckanut.up.2.821,6.33
Chuckanut,up,3,821,Chuckanut.up.3.821,6.6
Padden,down,1,821,Padden.down.1.821,41
Padden,down,2,821,Padden.down.2.821,21.4
Padden,down,3,821,Padden.down.3.821,19.3
Padden,up11,1,821,Padden.up11.1.821,1.79
Padden,up11,2,821,Padden.up11.2.821,0.995
Padden,up11,3,821,Padden.up11.3.821,7.01
Padden,up5,1,821,Padden.up5.1.821,1.07
Padden,up5,2,821,Padden.up5.2.821,0.55
Padden,up5,3,821,Padden.up5.3.821,1.47
Squalicum,down,1,821,Squalicum.down.1.821,55
Squalicum,down,2,821,Squalicum.down.2.821,50
Squalicum,down,3,821,Squalicum.down.3.821,46.4
Squalicum,up,1,821,Squalicum.up.1.821,27.4
Squalicum,up,2,821,Squalicum.up.2.821,23
Squalicum,up,3,821,Squalicum.up.3.821,30.9
Chuckanut,down,1,321,Chuckanut.down.1.321,5.8
Chuckanut,down,2,321,Chuckanut.down.2.321,8.14
Chuckanut,down,3,321,Chuckanut.down.3.321,8.56
Padden,down,1,321,Padden.down.1.321,0.731
Padden,down,2,321,Padden.down.2.321,0.64
Padden,down,3,321,Padden.down.3.321,0.84
