"","COI.0421.2Brn.Up.1","COI.0421.2Brn.Up.3","COI.0421.3Chk.Dn.1","COI.0421.4Pad.Up11.3","COI.0421.5Sqm.Dn.2","COI.0421.5Sqm.Up.2","COI.0821.3Chk.Up.2","COI.0821.4Pad.Dn.1","COI.0821.4Pad.Up11.1","COI.0821.4Pad.Up5.2","COI.Kangaroo.Run.2"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_00083",53,204,0,12,46,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00084",80,234,0,0,0,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00085",142,170,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00086",78,118,43,0,0,0,0,0,0,67,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00087",55,117,23,0,41,20,0,0,0,46,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00088",73,215,0,0,0,0,3,0,0,6,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00089",119,175,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00090",89,205,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00091",37,65,60,0,70,59,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_00092",290,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00093",13,56,47,0,62,75,0,0,8,26,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00094",147,136,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00095",138,144,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00096",27,104,66,12,32,16,0,0,0,19,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00097",26,45,101,0,40,44,0,0,0,19,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00098",134,133,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00099",57,93,0,0,66,15,0,0,22,5,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00100",8,19,0,39,0,0,14,18,35,125,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00101",68,187,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00102",81,170,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00103",97,124,21,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00104",13,40,20,0,45,74,18,0,0,27,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00105",80,89,0,0,0,0,0,0,65,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00106",30,63,0,0,7,0,0,79,52,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00107",24,33,82,0,59,28,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00108",33,73,0,92,0,0,0,0,22,5,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00109",64,160,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00110",28,62,45,42,0,0,0,0,47,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00111",8,59,0,0,0,0,0,0,40,111,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00112",34,107,0,0,38,14,0,0,23,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00113",12,5,0,5,4,15,0,0,52,119,0
"NA__Bacillariophyta__Bacillariophyceae__NA__NA__NA__NA__Seq_00114",16,47,148,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00115",14,26,12,0,0,0,123,0,0,36,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00116",72,125,0,0,0,0,0,0,0,13,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00117",84,123,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00118",17,145,13,0,17,10,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00119",58,88,0,0,37,17,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00120",20,111,0,0,6,10,0,0,0,51,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00121",85,78,0,0,0,0,0,0,34,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00122",21,0,0,12,0,7,0,0,21,135,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00123",43,151,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00124",61,132,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00125",20,51,0,9,0,0,16,0,10,87,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00126",32,46,98,0,0,0,15,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00127",29,99,20,0,16,16,3,0,0,6,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00128",31,48,12,0,0,0,0,0,37,60,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00129",40,120,24,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00130",52,125,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00131",21,46,55,0,33,22,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00132",8,49,62,0,13,29,0,0,0,16,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00133",7,27,79,0,0,0,64,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00134",47,61,0,0,13,0,0,54,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00135",11,0,0,0,0,0,0,0,23,141,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00136",30,39,105,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00137",30,86,0,0,16,0,0,0,40,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00138",18,151,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00139",25,56,0,8,26,19,0,0,3,31,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00140",43,124,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00141",91,75,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00142",49,115,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00143",5,0,21,0,22,17,98,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00144",45,75,0,0,0,0,0,0,0,41,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00145",19,141,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00146",57,82,0,0,0,0,0,0,0,19,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00147",31,51,58,0,0,18,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00148",24,20,0,0,59,55,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00149",14,33,0,0,0,0,0,0,0,110,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00150",36,120,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00151",70,79,0,0,0,0,0,0,0,6,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00152",41,93,0,0,0,0,0,0,0,20,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00153",14,0,21,12,14,0,0,0,17,76,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00154",12,52,0,14,26,18,17,0,15,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00155",45,108,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00156",28,31,0,0,0,0,0,0,0,94,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00157",51,101,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00158",22,15,14,0,18,10,12,10,24,27,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00159",61,90,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00160",43,0,0,0,0,0,0,0,0,108,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00161",13,19,98,0,0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00162",61,87,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00163",27,114,0,0,0,0,0,0,0,7,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00164",85,62,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00165",9,33,43,0,28,34,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00166",48,98,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00167",12,51,83,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00168",30,114,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00169",25,79,15,0,17,8,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00170",50,92,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00171",43,99,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00172",16,35,32,0,36,23,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00173",14,0,0,12,36,19,27,0,18,16,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00174",25,47,0,0,0,0,0,0,0,69,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00175",23,116,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00176",43,95,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00177",40,98,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00178",31,0,4,0,0,0,8,0,29,66,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00179",26,112,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00180",17,79,0,0,0,0,3,0,0,37,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00181",41,94,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00182",30,50,9,0,25,21,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00183",15,76,17,0,6,5,4,0,0,12,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00184",54,80,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00185",27,107,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00186",51,82,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00187",43,72,0,0,0,0,0,0,0,17,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00188",29,51,0,0,0,0,0,0,24,27,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00189",5,5,12,0,16,0,12,50,12,19,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00190",5,0,99,0,8,18,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00191",4,7,9,0,6,0,21,12,0,70,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00192",53,62,0,0,0,0,0,0,0,13,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00193",30,60,0,0,10,0,0,0,0,26,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00194",44,81,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00195",37,88,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Seq_00196",124,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00197",55,69,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00198",20,29,0,64,0,0,0,0,8,3,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00199",4,21,0,20,0,0,0,79,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00200",2,10,12,100,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00201",47,76,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00202",36,61,26,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00203",55,67,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00204",13,59,0,0,0,0,0,3,8,38,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00205",16,74,15,0,5,9,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00206",4,0,15,0,0,0,99,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Seq_00207",116,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00208",27,89,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00209",26,90,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00210",21,95,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00211",50,64,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00212",23,50,31,0,8,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00213",45,66,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00214",28,74,2,0,0,7,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00215",18,0,8,0,0,7,0,0,11,67,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00216",13,31,17,12,18,14,0,0,0,6,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_00217",5,45,4,4,13,9,0,0,15,16,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00218",44,62,0,0,0,0,0,0,0,3,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00219",30,66,12,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00220",21,71,0,0,12,4,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00221",7,0,0,0,6,0,13,0,10,72,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00222",48,34,8,0,5,0,0,0,0,12,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00223",18,62,26,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00224",13,93,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00225",41,63,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00226",19,85,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00227",9,68,0,27,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00228",8,0,0,0,0,0,0,0,24,72,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00229",6,32,3,0,0,5,45,0,0,13,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00230",3,20,0,0,7,0,0,0,12,62,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00231",36,67,0,0,0,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_00232",34,30,17,0,0,22,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00233",15,27,0,0,0,0,0,0,23,38,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_00234",32,16,0,0,0,0,0,0,33,21,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00235",47,47,0,7,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00236",34,67,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00237",12,12,0,77,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00238",31,69,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00239",24,76,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Plecoptera__Pteronarcyidae__Pteronarcys__Pteronarcys princeps__Seq_00240",21,41,0,0,0,0,14,2,0,21,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00241",47,50,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00242",23,74,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_00243",21,59,0,0,0,0,0,0,0,17,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00244",16,0,0,0,0,0,25,0,18,38,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00245",11,44,0,0,0,0,0,0,0,42,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00246",34,62,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00247",24,53,0,0,0,0,0,0,4,15,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00248",18,45,0,3,0,0,0,0,7,23,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00249",9,36,0,0,23,28,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00250",38,57,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00251",22,65,0,0,0,0,8,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00252",16,63,0,0,10,0,0,0,0,6,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_00253",13,34,0,0,0,0,0,5,0,43,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00254",45,0,24,10,0,0,0,0,15,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00255",39,55,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_00256",34,60,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00257",28,61,0,5,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00258",21,73,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00259",86,0,0,0,0,0,0,0,7,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00260",25,68,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_00261",19,51,17,0,0,0,0,0,0,6,0
